Site,Date,Month,Total_Bees,Total_Plants
Plunkett,5/3/2016,M51,11,2
Plunkett,5/18/2016,M52,40,114
Plunkett,6/15/2016,M6,49,346
Plunkett,7/20/2016,M7,300,535
Plunkett,8/14/2016,M8,484,648
Bowman,5/3/2016,M51,4,0
Bowman,5/18/2016,M52,18,0
Bowman,6/15/2016,M6,40,13
Bowman,7/20/2016,M7,13,3
Bowman,8/15/2016,M8,4,5
Kaldenberg,5/4/2016,M51,5,0
Kaldenberg,5/19/2016,M52,72,0
Kaldenberg,6/16/2016,M6,38,35
Kaldenberg,7/21/2016,M7,197,149
Kaldenberg,8/16/2016,M8,33,183
McClellan,5/4/2016,M51,0,0
McClellan,5/19/2016,M52,72,0
McClellan,6/16/2016,M6,50,0
McClellan,7/22/2016,M7,66,1
McClellan,8/16/2016,M8,23,1
Sloan,5/12/2016,M51,4,14
Sloan,5/22/2016,M52,123,27
Sloan,6/17/2016,M6,30,31
Sloan,7/25/2016,M7,129,53
Sloan,8/17/2016,M8,29,104
Sheller,5/12/2016,M51,0,17
Sheller,5/22/2016,M52,42,12
Sheller,6/21/2016,M6,36,19
Sheller,7/26/2016,M7,59,73
Sheller,8/18/2016,M8,77,90
Cretsinger,5/15/2016,M51,79,8
Cretsinger,5/29/2016,M52,222,6
Cretsinger,6/22/2016,M6,49,273
Cretsinger,8/5/2016,M7,73,335
Cretsinger,8/22/2016,M8,39,569
Peckumn,5/15/2016,M51,81,113
Peckumn,5/29/2016,M52,150,139
Peckumn,6/23/2016,M6,79,179
Peckumn,7/27/2016,M7,117,352
Peckumn,8/31/2016,M8,67,281
