Date,SamplePeriod,Site,SPBees,SPPlants
5/3/2016,EarlyMay,Plunkett,11,1
5/3/2016,EarlyMay,Bowman,4,0
5/4/2016,EarlyMay,Kaldenberg,5,0
5/4/2016,EarlyMay,McClellan,0,0
5/12/2016,EarlyMay,Sheller,0,2
5/12/2016,EarlyMay,Sloan,4,1
5/15/2016,EarlyMay,Cretsinger,55,1
5/15/2016,EarlyMay,Peckumn,63,1
5/18/2016,LateMay,Plunkett,38,2
5/18/2016,LateMay,Bowman,17,0
5/19/2016,LateMay,Kaldenberg,71,0
5/19/2016,LateMay,McClellan,69,0
5/22/2016,LateMay,Sheller,39,1
5/22/2016,LateMay,Sloan,123,2
5/29/2016,LateMay,Cretsinger,185,1
5/29/2016,LateMay,Peckumn,132,2
6/15/2016,June,Plunkett,42,8
6/15/2016,June,Bowman,40,1
6/16/2016,June,Kaldenberg,34,4
6/16/2016,June,McClellan,49,0
6/17/2016,June,Sloan,30,3
6/21/2016,June,Sheller,36,3
6/22/2016,June,Cretsinger,46,9
6/23/2016,June,Peckumn,68,7
7/20/2016,July,Plunkett,262,10
7/20/2016,July,Bowman,12,1
7/21/2016,July,Kaldenberg,166,6
7/22/2016,July,McClellan,65,1
7/25/2016,July,Sloan,119,6
7/26/2016,July,Sheller,55,3
7/27/2016,July,Peckumn,102,13
8/5/2016,July,Cretsinger,50,7
8/14/2016,August,Plunkett,434,9
8/15/2016,August,Bowman,4,1
8/16/2016,August,Kaldenberg,29,6
8/16/2016,August,McClellan,22,1
8/17/2016,August,Sloan,20,8
8/18/2016,August,Sheller,54,4
8/22/2016,August,Cretsinger,31,11
8/31/2016,August,Peckumn,41,4
