Date,Site,TotalBees
5/3/2016,Plunkett,11
5/3/2016,Bowman,4
5/4/2016,Kaldenberg,5
5/4/2016,McClellan,0
5/12/2016,Sheller,0
5/12/2016,Sloan,4
5/15/2016,Cretsinger,55
5/15/2016,Peckumn,63
5/18/2016,Plunkett,38
5/18/2016,Bowman,17
5/19/2016,Kaldenberg,71
5/19/2016,McClellan,69
5/22/2016,Sheller,39
5/22/2016,Sloan,123
5/29/2016,Cretsinger,185
5/29/2016,Peckumn,132
6/15/2016,Plunkett,42
6/15/2016,Bowman,40
6/16/2016,Kaldenberg,34
6/16/2016,McClellan,49
6/17/2016,Sloan,30
6/21/2016,Sheller,36
6/22/2016,Cretsinger,46
6/23/2016,Peckumn,68
7/20/2016,Plunkett,262
7/20/2016,Bowman,12
7/21/2016,Kaldenberg,166
7/22/2016,McClellan,65
7/25/2016,Sloan,119
7/26/2016,Sheller,55
7/27/2016,Peckumn,102
8/5/2016,Cretsinger,50
8/14/2016,Plunkett,434
8/15/2016,Bowman,4
8/16/2016,Kaldenberg,29
8/16/2016,McClellan,22
8/17/2016,Sloan,20
8/18/2016,Sheller,54
8/22/2016,Cretsinger,31
8/31/2016,Peckumn,41
