Date,Quadrat,Species,% Cover,"% Bare Ground
(Bee's eye view)","Species in Strip, 
Not in Quadrats",Outside Species
5/3/2016,1,No blooms,,0,,Dandelion
5/3/2016,2,No blooms,,0,,
5/3/2016,3,No blooms,,10,,
5/3/2016,4,No blooms,,10,,
5/3/2016,5,No blooms,,0,,
5/3/2016,6,No blooms,,0,,
5/3/2016,7,No blooms,,0,,
5/3/2016,8,No blooms,,0,,
5/3/2016,9,No blooms,,0,,
5/3/2016,10,No blooms,,0,,
5/18/2016,1,No blooms,,0,,Shepherd's purse*
5/18/2016,2,No blooms,,0,,
5/18/2016,3,No blooms,,0,,
5/18/2016,4,No blooms,,0,,
5/18/2016,5,No blooms,,0,,
5/18/2016,6,No blooms,,0,,
5/18/2016,7,No blooms,,0,,
5/18/2016,8,No blooms,,0,,
5/18/2016,9,No blooms,,0,,
5/18/2016,10,No blooms,,0,,
6/15/2016,1,No blooms,,0,,Yellow sweet clover
6/15/2016,2,Field bindweed,10,0,,Alfalfa
6/15/2016,3,No blooms,,0,,Birdsfoot trefoil
6/15/2016,4,No blooms,,0,,Canada thistle
6/15/2016,5,No blooms,,0,,White clover
6/15/2016,6,No blooms,,0,,
6/15/2016,7,No blooms,,0,,
6/15/2016,8,No blooms,,0,,
6/15/2016,9,Field bindweed,3,0,,
6/15/2016,10,No blooms,,0,,
7/20/2016,1,Field bindweed,3,0,Ground cherry,Queen Anne's lace
7/20/2016,2,No blooms,,0,,White sweet clover
7/20/2016,3,No blooms,,0,,Alfalfa
7/20/2016,4,No blooms,,0,,Hoary vervain
7/20/2016,5,No blooms,,0,,Birdsfoot trefoil
7/20/2016,6,No blooms,,0,,Daisy fleabane
7/20/2016,7,No blooms,,0,,Carolina horsenettle
7/20/2016,8,No blooms,,0,,
7/20/2016,9,No blooms,,0,,
7/20/2016,10,No blooms,,0,,
8/15/2016,1,No blooms,,0,Ground cherry,Alfalfa
8/15/2016,2,Field bindweed,5,0,Horseweed,Canada goldenrod
8/15/2016,3,No blooms,,0,,Queen Anne's lace
8/15/2016,4,No blooms,,0,,Flower of an hour
8/15/2016,5,No blooms,,0,,
8/15/2016,6,No blooms,,0,,
8/15/2016,7,No blooms,,0,,
8/15/2016,8,No blooms,,0,,
8/15/2016,9,No blooms,,0,,
8/15/2016,10,No blooms,,0,,
