Date,High temp,Average temp,Low temp,Average wind speed,Maximum wind speed,Precipitation
5/1/2016,51,46.6,44,9,14,0.7
5/2/2016,62,52.8,41,3,12,0.07
5/3/2016,63,57.1,43,4,12,0 
5/4/2016,63,54.6,48,12,19,0 
5/5/2016,57,47,38,1,4,0 
5/6/2016,66,52.4,48,4,7,0 
5/7/2016,67,63.8,56,7,16,0 
5/8/2016,64,57.2,54,4,10,0.01
5/9/2016,63,59.7,56,9,15,0.18
5/10/2016,74,66.9,59,5,9,0.15
5/11/2016,72,64.6,56,4,17,0 
5/12/2016,63,57,47,9,19,0.34
5/13/2016,64,50.2,43,10,24,0 
5/14/2016,50,42.6,38,10,21,0.15
5/15/2016,54,44.1,37,2,7,0 
5/16/2016,62,53.2,45,5,17,0 
5/17/2016,66,57.6,44,3,9,0 
5/18/2016,64,53,43,2,7,0.06
5/19/2016,62,48.3,43,1,6,0 
5/20/2016,69,59.2,52,2,12,0 
5/21/2016,67,52.8,45,0,4,0 
5/22/2016,69,54.2,47,1,5,0 
5/23/2016,78,68.9,61,5,18,0 
5/24/2016,82,70.5,63,3,8,0.12
5/25/2016,83,72.1,65,5,15,0.36
5/26/2016,82,73,62,4,17,0.48
5/27/2016,77,68.6,63,5,14,0.72
5/28/2016,75,67.8,63,7,16,0.26
5/29/2016,78,67.5,60,5,9,0.55
5/30/2016,83,70,61,3,19,0
5/31/2016,80,70.8,63,6,16,0
6/1/2016,74,66.1,59,5,9,0.66
6/2/2016,77,62,53,2,10,0
6/3/2016,80,68.9,61,5,15,0
6/4/2016,76,68.6,62,8,21,0.07
6/5/2016,77,64.6,58,8,14,0
6/6/2016,71,65.2,60,5,9,0
6/7/2016,66,60.4,57,6,12,0
6/8/2016,79,61.5,51,1,6,0
6/9/2016,85,74.2,68,5,13,0
6/10/2016,89,77.4,69,5,16,0
6/11/2016,91,79.4,68,6,29,0.28
6/12/2016,87,81.6,74,2,4,0
6/13/2016,91,82.2,70,4,12,0
6/14/2016,91,80.7,69,5,17,0
6/15/2016,91,81.3,67,3,9,0.36
6/16/2016,88,77.1,66,3,8,0
6/17/2016,86,75.5,65,5,13,0
6/18/2016,83,72.5,66,2,8,0
6/19/2016,86,71.4,62,2,11,0
6/20/2016,85,76,70,4,11,0
6/21/2016,80,70.5,66,2,6,0.16
6/22/2016,92,80.6,69,3,15,0.01
6/23/2016,81,73.3,64,6,16,0.01
6/24/2016,87,75.6,60,2,7,0
6/25/2016,90,80.6,72,6,18,0
6/26/2016,88,80,70,3,13,0
6/27/2016,83,73.8,66,3,7,0
6/28/2016,80,70.6,61,4,7,0
6/29/2016,78,68.6,60,3,7,0
6/30/2016,82,71.6,65,2,27,0.09
7/1/2016,75,67,58,4,9,0.27
7/2/2016,67,63.9,61,2,7,0
7/3/2016,72,66.7,57,5,14,0.02
7/4/2016,77,71.9,65,3,6,0.01
7/5/2016,90,83.9,70,4,11,0
7/6/2016,92,82.7,69,3,8,0.12
7/7/2016,86,78.8,69,3,7,0.97
7/8/2016,81,73.1,66,4,10,0.09
7/9/2016,86,76.8,63,2,6,0
7/10/2016,83,73.9,67,3,15,0
7/11/2016,91,85.1,75,8,16,0
7/12/2016,88,79.3,66,4,12,1.17
7/13/2016,87,80.1,73,5,9,0.41
7/14/2016,80,73.8,67,4,9,0.53
7/15/2016,76,68.6,59,3,10,0
7/16/2016,81,74.6,61,2,7,0
7/17/2016,88,75.4,65,5,12,0.05
7/18/2016,88,79.8,69,3,6,0.47
7/19/2016,79,73.5,71,4,12,0.38
7/20/2016,93,84.5,70,4,11,3.53
7/21/2016,95,88.7,78,6,15,0
7/22/2016,94,83.6,74,5,15,0
7/23/2016,94,86.6,77,2,7,0.02
7/24/2016,88,81.3,73,5,12,0
7/25/2016,82,73.7,67,3,7,0
7/26/2016,86,75.7,65,4,8,0
7/27/2016,85,74.6,63,3,7,0
7/28/2016,78,71,65,5,12,0
7/29/2016,72,68.7,63,4,8,0
7/30/2016,83,73.2,65,2,7,0
7/31/2016,83,78,67,4,10,0
8/1/2016,81,75.1,71,2,7,0
8/2/2016,83,75.5,69,3,7,0.38
8/3/2016,88,82.2,68,2,7,0.69
8/4/2016,93,83.7,73,4,12,0
8/5/2016,79,72,65,7,13,0.05
8/6/2016,80,69.5,60,4,7,0
8/7/2016,78,69.2,61,4,7,0
8/8/2016,79,71.5,62,5,9,0
8/9/2016,87,77.4,67,5,6,0
8/10/2016,90,78.6,69,6,13,0
8/11/2016,90,77.1,69,8,16,0.67
8/12/2016,81,74.5,68,6,12,1.13
8/13/2016,83,73.9,63,6,12,0.1
8/14/2016,85,74.6,64,3,7,0.08
8/15/2016,83,72.1,62,3,6,0
8/16/2016,84,72.1,64,5,8,0
8/17/2016,88,76.3,64,6,13,0.04
8/18/2016,90,79,69,7,12,0
8/19/2016,89,77.3,67,8,16,0
8/20/2016,73,66.9,60,9,17,0.7
8/21/2016,76,65.3,55,7,12,0.37
8/22/2016,81,68.6,57,9,17,0
8/23/2016,82,71.6,61,10,15,0
8/24/2016,83,73.7,67,8,13,0.12
8/25/2016,74,69.5,64,3,6,0.58
8/26/2016,72,65.4,60,5,11,0
8/27/2016,82,69.9,62,5,8,0.06
8/28/2016,89,74.1,65,5,8,0
8/29/2016,84,74.5,69,5,9,0.42
8/30/2016,83,73.4,67,4,10,0.62
8/31/2016,80,69.8,62,6,10,0
