Date,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/15/2016,Blue vane,12,4,1,1,0,0,0,0,0,0
5/15/2016,Bowls,40,61,0,0,0,0,2,0,0,0
5/15/2016,Non-Target,3,0,0,0,0,0,0,0,0,0
5/15/2016,Emergence,0,0,0,0,0,0,0,0,0,0
5/29/2016,Blue vane,45,14,0,0,0,0,0,0,0,0
5/29/2016,Bowls,123,70,1,0,0,0,0,2,0,0
5/29/2016,Non-Target,17,0,0,0,0,0,0,0,0,0
5/29/2016,Emergence,0,9,5,0,1,8,1,1,0,0
6/22/2016,Blue vane,15,2,0,0,0,0,0,0,0,0
6/22/2016,Bowls,30,40,2,0,0,1,1,0,0,0
6/22/2016,Non-Target,1,0,0,0,0,0,0,0,0,0
6/22/2016,Emergence,0,117,15,22,2,13,8,2,0,5
7/27/2016,Blue vane,4,1,3,0,0,0,0,1,0,0
7/27/2016,Bowls,9,26,1,3,0,0,0,0,0,0
7/27/2016,Non-Target,21,0,0,0,0,0,0,0,0,0
7/27/2016,Emergence,1,49,107,25,6,22,4,5,5,2
8/5/2016,Blue vane,5,8,2,2,1,0,0,0,0,1
8/5/2016,Bowls,17,28,3,0,1,0,0,0,0,1
8/5/2016,Non-Target,28,0,0,0,0,0,0,0,0,0
8/5/2016,Emergence,0,0,0,0,0,0,0,0,0,0
8/22/2016,Blue vane,4,3,3,1,0,2,0,0,0,1
8/22/2016,Bowls,10,12,21,2,0,0,0,0,0,0
8/22/2016,Non-Target,17,0,0,0,0,0,0,0,0,0
8/22/2016,Emergence,0,40,87,9,5,24,6,1,12,7
,Total,402,484,251,65,16,70,22,12,17,17
