Sample ID,Site,Soil Type,Percentage
KA1-1,Kaldenberg,Sand,17
KA1-1,Kaldenberg,Silt,53
KA1-1,Kaldenberg,Clay,30
KA1-2,Kaldenberg,Sand,15
KA1-2,Kaldenberg,Silt,55
KA1-2,Kaldenberg,Clay,30
KA1-3,Kaldenberg,Sand,17
KA1-3,Kaldenberg,Silt,57
KA1-3,Kaldenberg,Clay,26
KA1-4,Kaldenberg,Sand,19
KA1-4,Kaldenberg,Silt,57
KA1-4,Kaldenberg,Clay,24
KA2-1,Kaldenberg,Sand,24
KA2-1,Kaldenberg,Silt,54
KA2-1,Kaldenberg,Clay,22
KA2-2,Kaldenberg,Sand,23
KA2-2,Kaldenberg,Silt,53
KA2-2,Kaldenberg,Clay,24
KA2-3,Kaldenberg,Sand,20
KA2-3,Kaldenberg,Silt,58
KA2-3,Kaldenberg,Clay,24
KA2-4,Kaldenberg,Sand,21
KA2-4,Kaldenberg,Silt,57
KA2-4,Kaldenberg,Clay,22
CR1-1,Cretsinger,Sand,38
CR1-1,Cretsinger,Silt,34
CR1-1,Cretsinger,Clay,28
CR1-2,Cretsinger,Sand,43
CR1-2,Cretsinger,Silt,29
CR1-2,Cretsinger,Clay,28
CR1-3,Cretsinger,Sand,41
CR1-3,Cretsinger,Silt,25
CR1-3,Cretsinger,Clay,34
CR1-4,Cretsinger,Sand,45
CR1-4,Cretsinger,Silt,21
CR1-4,Cretsinger,Clay,34
CR2-1,Cretsinger,Sand,17
CR2-1,Cretsinger,Silt,55
CR2-1,Cretsinger,Clay,28
CR2-2,Cretsinger,Sand,27
CR2-2,Cretsinger,Silt,47
CR2-2,Cretsinger,Clay,26
CR2-3,Cretsinger,Sand,25
CR2-3,Cretsinger,Silt,49
CR2-3,Cretsinger,Clay,26
CR2-4,Cretsinger,Sand,27
CR2-4,Cretsinger,Silt,47
CR2-4,Cretsinger,Clay,26
MC1-1,McClellan,Sand,26
MC1-1,McClellan,Silt,48
MC1-1,McClellan,Clay,26
MC1-2,McClellan,Sand,16
MC1-2,McClellan,Silt,52
MC1-2,McClellan,Clay,32
MC1-3,McClellan,Sand,19
MC1-3,McClellan,Silt,51
MC1-3,McClellan,Clay,30
MC1-4,McClellan,Sand,21
MC1-4,McClellan,Silt,51
MC1-4,McClellan,Clay,28
MC2-1,McClellan,Sand,19
MC2-1,McClellan,Silt,53
MC2-1,McClellan,Clay,28
MC2-2,McClellan,Sand,16
MC2-2,McClellan,Silt,52
MC2-2,McClellan,Clay,32
MC2-3,McClellan,Sand,17
MC2-3,McClellan,Silt,55
MC2-3,McClellan,Clay,28
MC2-4,McClellan,Sand,14
MC2-4,McClellan,Silt,59
MC2-4,McClellan,Clay,27
PE1-1,Peckumn,Sand,34
PE1-1,Peckumn,Silt,43
PE1-1,Peckumn,Clay,23
PE1-2,Peckumn,Sand,52
PE1-2,Peckumn,Silt,29
PE1-2,Peckumn,Clay,19
PE1-3,Peckumn,Sand,52
PE1-3,Peckumn,Silt,29
PE1-3,Peckumn,Clay,19
PE1-4,Peckumn,Sand,53
PE1-4,Peckumn,Silt,26
PE1-4,Peckumn,Clay,21
PE2-1,Peckumn,Sand,55
PE2-1,Peckumn,Silt,26
PE2-1,Peckumn,Clay,19
PE2-2,Peckumn,Sand,59
PE2-2,Peckumn,Silt,28
PE2-2,Peckumn,Clay,13
PE2-3,Peckumn,Sand,53
PE2-3,Peckumn,Silt,30
PE2-3,Peckumn,Clay,17
PE2-4,Peckumn,Sand,53
PE2-4,Peckumn,Silt,32
PE2-4,Peckumn,Clay,15
BO1-1,Bowman,Sand,56
BO1-1,Bowman,Silt,30
BO1-1,Bowman,Clay,14
BO1-2,Bowman,Sand,58
BO1-2,Bowman,Silt,26
BO1-2,Bowman,Clay,16
BO1-3,Bowman,Sand,48
BO1-3,Bowman,Silt,30
BO1-3,Bowman,Clay,22
BO1-4,Bowman,Sand,58
BO1-4,Bowman,Silt,28
BO1-4,Bowman,Clay,14
BO2-1,Bowman,Sand,56
BO2-1,Bowman,Silt,24
BO2-1,Bowman,Clay,20
BO2-2,Bowman,Sand,54
BO2-2,Bowman,Silt,24
BO2-2,Bowman,Clay,22
BO2-3,Bowman,Sand,52
BO2-3,Bowman,Silt,24
BO2-3,Bowman,Clay,24
BO2-4,Bowman,Sand,57
BO2-4,Bowman,Silt,25
BO2-4,Bowman,Clay,18
SH1-1,Sheller,Sand,37
SH1-1,Sheller,Silt,41
SH1-1,Sheller,Clay,22
SH1-2,Sheller,Sand,23
SH1-2,Sheller,Silt,53
SH1-2,Sheller,Clay,24
SH1-3,Sheller,Sand,25
SH1-3,Sheller,Silt,45
SH1-3,Sheller,Clay,30
SH1-4,Sheller,Sand,23
SH1-4,Sheller,Silt,47
SH1-4,Sheller,Clay,30
SH2-1,Sheller,Sand,21
SH2-1,Sheller,Silt,53
SH2-1,Sheller,Clay,26
SH2-2,Sheller,Sand,27
SH2-2,Sheller,Silt,49
SH2-2,Sheller,Clay,24
SH2-3,Sheller,Sand,29
SH2-3,Sheller,Silt,45
SH2-3,Sheller,Clay,26
SH2-4,Sheller,Sand,23
SH2-4,Sheller,Silt,45
SH2-4,Sheller,Clay,32
PL1-1,Plunkett,Sand,67
PL1-1,Plunkett,Silt,19
PL1-1,Plunkett,Clay,14
PL1-2,Plunkett,Sand,69
PL1-2,Plunkett,Silt,15
PL1-2,Plunkett,Clay,16
PL1-3,Plunkett,Sand,63
PL1-3,Plunkett,Silt,19
PL1-3,Plunkett,Clay,18
PL1-4,Plunkett,Sand,59
PL1-4,Plunkett,Silt,21
PL1-4,Plunkett,Clay,20
PL2-1,Plunkett,Sand,65
PL2-1,Plunkett,Silt,23
PL2-1,Plunkett,Clay,12
PL2-2,Plunkett,Sand,64
PL2-2,Plunkett,Silt,20
PL2-2,Plunkett,Clay,16
PL2-3,Plunkett,Sand,56
PL2-3,Plunkett,Silt,26
PL2-3,Plunkett,Clay,18
PL2-4,Plunkett,Sand,59
PL2-4,Plunkett,Silt,25
PL2-4,Plunkett,Clay,16
SL1-1,Sloan,Sand,78
SL1-1,Sloan,Silt,14
SL1-1,Sloan,Clay,8
SL1-2,Sloan,Sand,75
SL1-2,Sloan,Silt,15
SL1-2,Sloan,Clay,10
SL1-3,Sloan,Sand,72
SL1-3,Sloan,Silt,18
SL1-3,Sloan,Clay,10
SL1-4,Sloan,Sand,73
SL1-4,Sloan,Silt,15
SL1-4,Sloan,Clay,12
SL2-1,Sloan,Sand,63
SL2-1,Sloan,Silt,23
SL2-1,Sloan,Clay,14
SL2-2,Sloan,Sand,59
SL2-2,Sloan,Silt,25
SL2-2,Sloan,Clay,18
SL2-3,Sloan,Sand,57
SL2-3,Sloan,Silt,25
SL2-3,Sloan,Clay,18
SL2-4,Sloan,Sand,61
SL2-4,Sloan,Silt,17
SL2-4,Sloan,Clay,22
