Site,Year,BloomingSpecies,Bumblebee,Cavitynester,Cleptoparasite,Honeybee,Socialgroundnester,Socialparasite,Solitarygroundnester
Bowman,2014,0,2,0,0,1,3,0,10
Bowman,2015,0,3,0,0,1,5,0,6
Bowman,2016,1,3,1,0,1,4,0,9
Cretsinger,2014,8,1,7,0,1,4,0,14
Cretsinger,2015,13,3,4,1,0,6,0,13
Cretsinger,2016,22,4,9,0,0,7,0,20
Elkader,2014,7,3,10,6,1,8,0,22
Elkader,2015,6,5,8,4,1,7,0,29
Greving,2014,13,3,7,4,0,8,0,21
Kaldenberg,2014,5,1,5,0,0,6,0,18
Kaldenberg,2015,12,4,4,0,1,6,0,13
Kaldenberg,2016,11,3,4,2,0,8,0,13
McClellan,2014,0,1,1,0,0,5,0,11
McClellan,2015,0,4,2,0,0,6,0,10
McClellan,2016,1,2,1,0,0,6,0,11
NealSmith,2014,16,1,7,5,1,8,1,23
NealSmith,2015,13,4,6,1,0,7,0,15
Peckumn,2015,15,2,4,2,1,5,0,12
Peckumn,2016,18,3,7,2,1,6,0,23
Plunkett,2014,10,2,1,1,1,5,0,13
Plunkett,2015,10,4,1,1,1,4,0,12
Plunkett,2016,16,5,4,2,1,8,0,27
Sheller,2014,5,1,2,0,0,3,0,15
Sheller,2015,5,5,0,2,0,4,0,9
Sheller,2016,5,2,4,1,0,4,0,17
Sloan,2014,7,3,5,0,0,3,0,11
Sloan,2015,7,2,3,2,0,4,0,11
Sloan,2016,12,2,5,1,1,6,0,14
